SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,001,New York,Albany County,1,0,314851,153144,161707,115913,121469,21287,23562,525,533,10609,11205,126,121,4684,4817,120147,125728,24070,26631,1222,1293,12350,12842,296,318,142593,150683,108824,114242,19009,21059,225,243,10495,11082,72,74,3968,3983,112391,117727,21217,23432,772,848,12187,12661,205,235,10551,11024,7089,7227,2278,2503,300,290,114,123,54,47,716,834,7756,8001,2853,3199,450,445,163,181,91,83
050,36,001,New York,Albany County,1,1,15332,7834,7498,4987,4699,1484,1443,36,36,741,677,15,14,571,629,5538,5313,1847,1853,68,73,939,886,24,22,6934,6571,4481,4202,1214,1192,12,12,725,662,9,9,493,494,4959,4686,1510,1485,30,30,919,862,14,12,900,927,506,497,270,251,24,24,16,15,6,5,78,135,579,627,337,368,38,43,20,24,10,10
050,36,001,New York,Albany County,1,2,16354,8468,7886,5307,4924,1587,1566,47,24,860,719,18,18,649,635,5932,5539,2004,1995,89,54,1083,922,28,28,7540,6982,4750,4416,1380,1329,9,8,844,693,9,14,548,522,5279,4924,1712,1660,35,25,1061,889,17,20,928,904,557,508,207,237,38,16,16,26,9,4,101,113,653,615,292,335,54,29,22,33,11,8
050,36,001,New York,Albany County,1,3,16356,8397,7959,5399,5115,1681,1596,44,26,647,666,7,6,619,550,5992,5634,2090,1973,87,62,863,842,15,17,7524,7118,4875,4624,1463,1370,15,9,637,659,5,2,529,454,5381,5050,1791,1662,44,31,850,830,12,11,873,841,524,491,218,226,29,17,10,7,2,4,90,96,611,584,299,311,43,31,13,12,3,6
050,36,001,New York,Albany County,1,4,22399,10908,11491,7623,7860,1868,2081,34,34,831,934,14,8,538,574,8118,8389,2219,2468,85,90,1020,1122,30,26,9840,10410,6916,7178,1623,1811,18,11,815,923,10,5,458,482,7341,7624,1905,2117,52,47,999,1107,20,21,1068,1081,707,682,245,270,16,23,16,11,4,3,80,92,777,765,314,351,33,43,21,15,10,5
050,36,001,New York,Albany County,1,5,32036,15679,16357,11394,11536,2331,2692,42,71,1228,1525,15,7,669,526,12005,12012,2774,3052,129,148,1454,1690,34,26,14286,14916,10510,10561,1983,2370,20,25,1218,1511,9,2,546,447,11009,10968,2324,2663,77,83,1438,1674,24,17,1393,1441,884,975,348,322,22,46,10,14,6,5,123,79,996,1044,450,389,52,65,16,16,10,9
050,36,001,New York,Albany County,1,6,21787,10906,10881,7681,7570,2022,2014,46,39,782,874,10,10,365,374,8011,7910,2237,2246,97,93,915,1003,30,25,9983,9890,7064,6892,1816,1801,13,16,776,867,7,8,307,306,7342,7168,1989,1978,49,53,905,989,23,20,923,991,617,678,206,213,33,23,6,7,3,2,58,68,669,742,248,268,48,40,10,14,7,5
050,36,001,New York,Albany County,1,7,19849,9947,9902,7308,7004,1512,1643,31,41,834,914,8,9,254,291,7531,7268,1625,1807,71,87,964,1029,24,23,9080,9069,6658,6444,1362,1453,14,15,823,907,4,7,219,243,6847,6663,1452,1580,46,48,950,1020,17,19,867,833,650,560,150,190,17,26,11,7,4,2,35,48,684,605,173,227,25,39,14,9,7,4
050,36,001,New York,Albany County,1,8,19878,9862,10016,7453,7212,1267,1545,25,27,902,980,6,11,209,241,7635,7415,1372,1675,59,69,995,1088,19,33,9098,9278,6897,6685,1119,1387,7,13,898,976,5,7,172,210,7044,6861,1197,1492,34,46,988,1083,16,27,764,738,556,527,148,158,18,14,4,4,1,4,37,31,591,554,175,183,25,23,7,5,3,6
050,36,001,New York,Albany County,1,9,17689,8821,8868,6642,6275,1154,1415,20,30,831,918,7,15,167,215,6787,6452,1239,1534,54,67,903,1012,12,33,8161,8257,6161,5869,1033,1272,10,12,823,913,2,7,132,184,6274,6017,1094,1368,34,46,889,1004,7,21,660,611,481,406,121,143,10,18,8,5,5,8,35,31,513,435,145,166,20,21,14,8,5,12
050,36,001,New York,Albany County,1,10,17317,8555,8762,6451,6489,1117,1325,23,27,853,752,5,4,106,165,6536,6612,1167,1429,51,64,904,819,12,12,8076,8211,6078,6105,1048,1214,9,9,851,750,1,2,89,131,6146,6197,1086,1289,35,41,901,812,6,10,479,551,373,384,69,111,14,18,2,2,4,2,17,34,390,415,81,140,16,23,3,7,6,2
050,36,001,New York,Albany County,1,11,19257,9507,9750,7626,7656,1146,1335,48,37,558,553,8,10,121,159,7716,7767,1206,1434,92,94,608,611,19,25,9038,9207,7288,7304,1066,1211,20,19,552,547,4,4,108,122,7366,7382,1115,1280,61,70,601,601,13,18,469,543,338,352,80,124,28,18,6,6,4,6,13,37,350,385,91,154,31,24,7,10,6,7
050,36,001,New York,Albany County,1,12,21399,10456,10943,8614,9024,1229,1288,43,32,445,476,3,4,122,119,8705,9104,1277,1355,95,81,494,516,14,14,10070,10526,8318,8743,1174,1196,20,19,442,471,2,3,114,94,8401,8801,1216,1244,71,64,490,507,13,12,386,417,296,281,55,92,23,13,3,5,1,1,8,25,304,303,61,111,24,17,4,9,1,2
050,36,001,New York,Albany County,1,13,20467,9989,10478,8460,8867,1034,1131,25,29,377,353,7,2,86,96,8527,8932,1069,1186,67,77,414,379,12,8,9688,10139,8250,8628,974,1068,11,18,373,346,3,2,77,77,8308,8675,1003,1108,50,63,410,369,8,7,301,339,210,239,60,63,14,11,4,7,4,0,9,19,219,257,66,78,17,14,4,10,4,1
050,36,001,New York,Albany County,1,14,17766,8425,9341,7342,8121,716,819,18,24,277,284,1,1,71,92,7394,8170,744,869,56,82,306,312,8,10,8209,9036,7190,7878,673,776,13,13,276,281,0,1,57,87,7228,7922,693,824,47,68,301,309,3,9,216,305,152,243,43,43,5,11,1,3,1,0,14,5,166,248,51,45,9,14,5,3,5,1
050,36,001,New York,Albany County,1,15,14589,6706,7883,5894,6862,536,673,18,22,202,258,1,1,55,67,5931,6900,560,715,51,65,221,275,2,6,6561,7679,5795,6694,499,650,14,17,202,257,1,1,50,60,5827,6726,519,687,47,59,219,273,1,5,145,204,99,168,37,23,4,5,0,1,0,0,5,7,104,174,41,28,4,6,2,2,1,1
050,36,001,New York,Albany County,1,16,9206,3996,5210,3541,4588,301,427,11,14,115,140,0,1,28,40,3560,4613,316,449,26,38,121,147,2,7,3912,5079,3473,4491,294,404,9,13,114,140,0,0,22,31,3486,4509,304,421,22,33,120,146,2,3,84,131,68,97,7,23,2,1,1,0,0,1,6,9,74,104,12,28,4,5,1,1,0,4
050,36,001,New York,Albany County,1,17,5996,2419,3577,2139,3170,183,282,7,7,74,93,0,0,16,25,2150,3190,189,296,17,21,79,96,2,2,2364,3511,2101,3120,171,275,5,5,74,91,0,0,13,20,2110,3135,176,286,12,17,79,94,2,2,55,66,38,50,12,7,2,2,0,2,0,0,3,5,40,55,13,10,5,4,0,2,0,0
050,36,001,New York,Albany County,1,18,7174,2269,4905,2052,4497,119,287,7,13,52,89,1,0,38,19,2079,4508,135,295,28,28,67,93,9,1,2229,4804,2019,4408,117,280,6,9,52,88,1,0,34,19,2043,4419,131,288,26,24,67,92,7,1,40,101,33,89,2,7,1,4,0,1,0,0,4,0,36,89,4,7,2,4,0,1,2,0
050,36,001,New York,Albany County,2,0,314018,152789,161229,115530,120899,21315,23623,538,541,10565,11181,132,122,4709,4863,119689,125094,23848,26426,1180,1286,12681,13226,346,367,142194,150183,108423,113690,19022,21099,231,247,10450,11058,78,74,3990,4015,111925,117125,20987,23216,727,810,12499,13022,255,269,10595,11046,7107,7209,2293,2524,307,294,115,123,54,48,719,848,7764,7969,2861,3210,453,476,182,204,91,98
